Компания;Банкрот?;год;Финансовые вложения (за исключением денежных эквивалентов);Внеоборотные активы;Запасы;Дебиторская задолженность;Денежные средства и денежные эквиваленты;Оборотные активы;Активы  всего;Нераспределенная прибыль (непокрытый убыток);Капитал и резервы;Долгосрочные обязательства;Заёмные средства (краткосрочные);Кредиторская задолженность;Краткосрочные обязательства;Пассивы всего;Выручка;Себестоимость продаж;Прибыль (убыток) от продажи;Проценты к уплате;Прибыль (убыток) до налогообложения ;Текущий налог на прибыль;Чистая прибыль (убыток);"Коэффициент абсолютной ликвидности где ОАНЛ – оборотные активы, наиболее ликвидные, к
которым относятся денежные средства и краткосрочные финансовые вложения; ТО – текущие обязательства, которые рассчитываются как сумма краткосрочных заемных средств, кредиторской задолженности и
прочих краткосрочных обязательств";ОА/КО;коэффициент финансовой зависимости [заемные средства/валюта баланса];Доля чистого оборотного капитала в активах [(ОА-КО)/общая величина активов];"Доля формирования активов за счет
нераспределенной прибыли [НП/Авсего]";рентабельность активов, рассчитанная исходя из прибыли до уплаты процентов и налогов;коэффициент оборачиваемости активов;коэффициент соотношения акционерного капитала и обязательств;(рентабельность собственного капитала, рассчитанная исходя из прибыли до налогообложения;доля формирования активов за счет заемных средств = Кфз;доля формирования активов за счет краткосрочных обязательств;"(коэффициент покрытия обязательств
оборотным капиталом";(коэффициент соотношения прибыли до уплаты процентов и налогов и суммы процентов к уплате;доля быстрореализуемых активов в общей величине активов;"(доля постоянного капитала в общей
сумме источников средств";"доля финансовых расходов
в выручке";"(коэффициент соотношения прибыли
до уплаты процентов и налогов и заемного
капитала";доля оборотного капитала в общей величине активов;"(рентабельность активов, рассчитанная
исходя из прибыли от продаж";"(коэффициент соотношения собственного
и заемного капиталов (ПОМЕНЯЛА: ЗАЕМН/СОБСТВ)";(коэффициент соотношения прибыли от продаж и краткосрочных обязательств;коэффициент соотношения оборотных активов и обязательств;"доля оборотного капитала в валюте
баланса";"коэффициент соотношения прибыли до
налогообложения и краткосрочных
обязательств";рентабельность собственного капитала;"рентабельность затрат на проданную (произведенную) продукцию, рассчитанная исходя из чистой
прибыли";коэффициент убыточности предприятия;(коэффициент соотношения кредиторской и дебиторской задолженностей gjvtyzkf vtcnfvb;(коэффициент убыточности продажи продукции);коэффициент загрузки активов;коэффициент обеспеченности собственными оборотными средствами;коэффициент менеджмента;(рентабельность собственного капитала, рассчитанная исходя из прибыли до налогообложения;(коэффициент оборачиваемости запасов ПОМЕНЯЛА МЕСТАМИ;коэффициент структуры капитала (леверидж));коэффициент рентабельности;(коэффициент эффективности;(коэффициент оборачиваемости совокупного капитала;Шеремет
АО 2-ПУ УРАЛХИММОНТАЖ;1;2020;0;44886;417 794;95009;15538;528365;573251;-179987;-176720;419;3188;743965;749552;573251;498;2091;-3988;0;6256;-1722;4490;0,010381471;0,704907732;1,308276828;-0,385846688;-0,313975902;0,010913195;0,000868729;-0,235767498;-0,035400634;1,308276828;1,307545909;0,704907732;0;0,192842228;-0,308276828;-3,457831325;0,008341656;0,921699221;-0,006956813;-0,018039837;-0,005320511;0,704513908;0,921699221;0,008346319;-0,025407424;2,147297944;0;0,127706277;0;1151,106426;-0,419418394;-8,008032129;-0,035400634;838,9437751;-0,235635778;0,00783252;9,016064257;-0,002818017;1,496203234
АО 9 ЦАРЗ;1;2017;0;518902;178 684;335886;67;514637;1033539;-641186;180270;8304;13598;830315;844965;1033539;319502;404759;-85257;0;-135570;17006;-118564;3,96713E-05;0,609063097;0,825579877;-0,319608646;-0,620379105;-0,131170667;0,309133956;0,213346115;-0,752038609;0,825579877;0,817545347;0,609063097;0;0,325051111;0,174420123;0,053226584;-0,158883072;0,497936701;-0,082490356;0,075431297;-0,100900037;0,603135705;0,497936701;-0,160444515;-0,657702335;-0,292924926;-0,657702335;0,404528402;-0,371090009;3,2348436;-0,658001659;-0,2668434;-0,752038609;0,559257845;0,211269834;-0,114716523;-0,371090009;1,772352582;1,141578595
АО 172 ЦАРЗ;1;2017;1 000;1 313 005;105 262;102 608;532 229;741 208;2 054 213;-488 716;1 654 099;5 612;132 876;253 457;394 502;2 054 213;867 389;1 001 448;-134 059;6 922;-171 345;9 134;-132 190;0,682895874;1,878844721;0,19477727;0,168778019;-0,237909117;-0,080041846;0,422248813;4,192878617;-0,103588117;0,19477727;0,192045323;1,878844721;-23,75368391;0,309041467;0,80522273;0,018510726;-0,410940382;0,360823342;-0,065260516;0,080331347;-0,339818303;1,85249204;0,360823342;-0,434332399;-0,079916619;-0,131998866;-0,079916619;0,404833956;-0,152399904;2,368271906;0,460186614;-0,154554646;-0,103588117;0,121355009;4,13406929;-0,064350678;-0,152399904;0,524387597;0,49759689
АО 751 РЕМОНТНЫЙ ЗАВОД ;1;2020;0;72 726;13 654;5 718;138;19 825;92 551;-143 387;-59 114;11 835;61 801;78 029;139 830;92 551;10 505;6 908;-4 672;0;-6 019;0;-4 953;0,000493456;0,141779303;1,638718112;-1,296636449;-1,549275535;-0,065034413;0,113504986;-0,422756204;0,101820212;1,638718112;1,510842671;0,141779303;0;0,063273222;-0,638718112;0;-0,03968615;0,214206221;-0,050480276;-1,045454545;-0,033412;0,130715722;0,214206221;-0,043045126;0,083787259;-0,716994789;0,083787259;0,073280447;-0,471489767;8,810185626;-6,650189155;-0,4447406;0,101820212;1,299762018;-0,389766921;-0,05351644;-0,471489767;-0,17770748;1,574115893
АО 2048 ЦИБ;1;2019;0;219 170;6 797;1 025;0;13 546;232 716;-427 667;-234 234;0;218 664;247 301;466 950;232 716;223;2 858;-14 887;0;-25 037;5 006;-20 031;0;0,02900953;2,006522972;-1,948314684;-1,837720655;-0,107586071;0,00095825;-0,501625442;0,106888838;2,006522972;2,006522972;0,02900953;0;0,00440451;-1,006522972;22,44843049;-0,05361816;0,058208288;-0,063970677;-0,93352801;-0,031881358;0,02900953;0,058208288;-0,05361816;0,085517047;-7,008747376;0,085517047;0,004144747;-89,82511211;1043,569507;-33,47143068;-66,75784753;0,106888838;30,47982063;-0,501625442;-0,086074872;-89,82511211;-0,000952039;2,006694856
АО АНДРЕАПОЛЬСКИЙ НПЗ;1;2020;66 691;885 306;46 502;1 279 873;12 030;1 405 106;2 290 412;-1 215 107;-1 201 597;1 041 048;2 225 540;218 469;2 450 961;2 290 412;2 255 227;2 014 762;-1 970;194 700;-184 097;26 496;-158 695;0,016082019;0,573287784;1,524620461;-0,456623088;-0,530518963;0,004629298;0,984638135;-0,490255455;0,153210269;1,524620461;1,070096122;0,573287784;0,054458141;0,564048302;-0,524620461;0,098081479;0,003036361;0,613473035;-0,000860107;-1,852151761;-0,000803766;0,402377543;0,613473035;-0,07511217;0,13207007;-0,078766127;0,13207007;5,858373499;-0,070367639;1,015601534;-1,485228161;-0,000873526;0,153210269;0,020619654;-0,344099056;-0,069286661;-0,070367639;-1,876858048;1,660226632
МУП ЦРА №51;1;2018;0;247;1 007;31;29;1 067;1 314;-743;196;0;0;1 118;1 118;1 314;8 935;6 961;-290;0;-418;0;-484;0,012969589;0,954382826;0,850837139;-0,038812785;-0,565449011;-0,318112633;6,799847793;0,175313059;-2,132653061;0,850837139;0,850837139;0,954382826;0;0,0456621;0,149162861;0;-0,373881932;0,812024353;-0,220700152;0;-0,259391771;0,954382826;0,812024353;-0,373881932;-2,469387755;-0,06953024;-2,469387755;0,027728086;-0,054168998;0,147062115;-0,047797563;-0,032456631;-2,132653061;0,112702854;0,175313059;-0,368340944;-0,054168998;45,58673469;0,896499239
ООО 1УК;1;2015;0;0;4 325;112 694;394;117 413;117 413;163;173;0;0;117 240;117 240;117 413;175 401;157 609;279;0;154;31;123;0,001680314;1,001475606;0,998526569;0,001473431;0,001388262;0,001311609;1,493880575;0,001475606;0,89017341;0,998526569;0,998526569;1,001475606;0;0,963164215;0,001473431;0,000176738;0,001313545;1;0,002376228;0;0,002379734;1,001475606;1;0,001313545;0,710982659;0,000780412;0;0,961224838;0;0,669397552;0,001473431;0,001590641;0,89017341;0,024657784;0,001475606;0,001047584;0,00070125;1013,878613;1,961690784
ООО 2Е;1;2019;0;0;13 153;16 202;1 429;36 646;30 784;0;-933;179;0;31 538;36 595;30 784;23 601;22 793;817;0;130;105;-758;0,020973684;1,001393633;1,194581601;0,001656705;0;0,004222973;0,766664501;-0,025495286;-0,139335477;1,194581601;1,188766892;1,001393633;0;0,572732588;-0,030307952;0,004448964;0,003535106;1,190423597;0,026539761;0;0,022325454;0,99651928;1,190423597;0,003552398;0,812433012;-0,033255824;0,812433012;0,513729469;-0,032117283;1,304351511;-0,025459805;0,034617177;-0,139335477;0,557306894;-0,025371186;-0,024623181;-0,032117283;-25,29581994;1,597225832
ООО 4Ф;1;2016;0;63 193;102 281;341 452;6 938;458 582;521 775;17 873;17 883;217 698;75 585;210 609;286 194;521 775;2 518 806;2 080 796;9 138;45 243;-5 980;1 239;-7 219;0,012121149;1,60234666;0,965726606;0,330387619;0,034254228;0,07524891;4,827379618;0,062485587;-0,334395795;0,965726606;0,548500791;1,60234666;0,867824857;0,667701596;0,034273394;0,018453982;0,077919475;0,87888841;0,017513296;4,226639826;0,031929391;0,910079938;0,87888841;-0,020894917;-0,403679472;-0,003469345;-0,403679472;1,62126025;-0,00286604;0,207151722;-0,098804576;0,003627909;-0,334395795;0,040606938;0,035489748;-0,013835465;-0,00286604;140,8491864;1,216202386
